cgpa,department,programming_skill_score,problem_solving_score,database_skill_score,coding_contest_rating,coding_contest_platform,internships_count,hackathons_participated,freelance_experience,certifications_count,projects_count,github_repos,communication_skill_score,teamwork_score,learning_consistency_score,aptitude_test_score,mock_interview_score,resume_quality_score,leadership_score,extracurricular_score,presentation_skill_score,employability_score,placement_status
2.61,Civil,49,41,51,967,HackerRank,0,1,0,1,2,9,45,33,37,34,32,35,37,29,36,36.93,0
3.68,B.B.A,87,83,71,1690,HackerRank,2,2,1,5,4,16,99,89,82,80,85,100,80,52,91,83.96,1
2.44,B.B.A,28,26,29,601,Codeforces,0,1,1,1,0,0,39,36,31,21,30,20,42,23,37,27.23,1
2.29,CSE,29,24,18,504,CodeChef,1,1,0,3,2,7,16,0,8,12,18,70,15,25,22,20.41,0
3.38,EEE,74,89,81,1590,Codeforces,1,5,0,3,3,14,80,71,79,79,79,96,67,95,70,73.89,1
2.3,CSE,36,27,8,516,LeetCode,0,0,0,0,3,10,13,19,26,28,16,56,9,8,13,19.08,0
3.38,EEE,84,68,73,1694,HackerRank,1,2,1,3,3,14,73,59,84,78,76,92,71,51,70,71.15,1
3.67,CSE,92,82,76,1764,Codeforces,3,3,1,3,5,20,81,81,89,85,80,100,79,58,65,84.68,1
4,EEE,100,91,82,2289,Codeforces,3,4,1,2,2,11,94,95,100,100,97,100,79,77,99,94.51,1
2.98,EEE,67,64,66,1431,CodeChef,2,2,0,2,2,8,55,55,52,69,56,83,61,32,42,56.94,1
3.61,CSE,81,80,66,1695,LeetCode,0,3,1,2,3,13,51,53,77,76,67,62,63,61,65,65.87,1
2.75,CSE,67,60,60,941,LeetCode,2,2,0,4,3,10,47,48,55,56,48,100,60,44,42,52.98,0
3.86,CSE,100,88,87,2345,CodeChef,3,5,0,5,4,17,94,86,100,100,90,100,86,94,79,93.81,1
2.4,B.B.A,15,16,25,407,CodeChef,0,0,0,0,0,1,28,29,16,20,26,5,20,8,31,18.55,0
3.2,CSE,59,60,61,1246,CodeChef,2,3,1,1,1,6,50,45,59,55,48,59,44,60,43,57.01,1
2.04,English,10,15,2,154,CodeChef,0,1,0,0,1,4,16,11,0,2,8,22,13,23,13,8.49,0
3.51,EEE,89,77,75,2122,HackerRank,3,3,0,1,4,16,78,74,86,78,82,100,69,64,80,81.52,1
3.78,Pharmacy,85,79,83,1864,CodeChef,2,5,1,3,4,18,86,86,87,78,82,100,76,100,87,84.9,1
3.03,CSE,59,47,50,1038,CodeChef,2,0,0,3,3,12,33,27,59,52,40,100,36,13,36,46.48,0
3.44,Pharmacy,66,65,59,1573,LeetCode,3,3,1,1,3,12,75,56,73,72,76,100,63,57,70,72.28,1
4,CSE,96,92,96,2025,Codeforces,3,3,1,4,4,17,87,78,100,96,90,100,92,68,86,94.06,1
3.43,B.B.A,87,84,70,1637,Codeforces,2,3,1,2,5,20,89,81,70,81,93,100,93,62,87,84.01,1
3.51,B.B.A,67,59,59,1345,LeetCode,1,2,0,4,3,13,74,69,74,65,70,92,70,53,71,64.85,0
3.37,CSE,70,81,73,1435,Codeforces,1,3,1,4,3,14,64,65,74,80,68,89,48,55,67,68.89,1
3.81,Pharmacy,93,80,80,1858,CodeChef,2,4,1,3,5,20,71,83,77,81,73,100,76,75,80,82.15,1
3.4,Civil,83,65,59,1638,LeetCode,0,1,1,1,3,15,72,57,71,58,64,66,55,48,69,61.8,1
3.46,CSE,75,82,65,1672,LeetCode,0,2,0,3,3,12,73,56,69,75,77,75,69,52,65,66.99,1
3.55,Pharmacy,46,44,40,708,LeetCode,0,1,0,2,3,13,54,40,41,48,48,63,46,22,45,48.35,0
3.59,EEE,74,78,64,1697,CodeChef,0,2,0,4,0,3,66,60,75,75,67,48,62,48,60,64.02,0
3.31,CSE,72,77,78,1736,LeetCode,1,2,0,5,3,13,65,74,82,72,69,95,57,48,61,68.42,1
3.68,CSE,98,95,86,2282,Codeforces,3,3,1,4,2,11,85,88,100,100,87,100,79,58,87,89.63,1
3.38,B.B.A,68,76,67,1607,LeetCode,3,5,0,2,5,19,88,93,61,76,73,100,75,82,79,78.94,1
3.43,CSE,81,78,57,1595,CodeChef,3,2,0,2,1,6,73,54,79,77,71,86,58,38,67,72.72,1
3.91,Civil,90,88,86,2031,HackerRank,1,5,0,3,5,20,95,98,91,93,94,100,79,96,88,88.13,1
2.05,CSE,16,15,20,79,CodeChef,0,0,1,0,0,0,2,0,17,10,7,12,0,7,5,8.27,0
2.88,CSE,52,45,44,1392,LeetCode,2,1,0,3,2,10,52,42,56,54,54,83,42,12,54,49.19,1
2.52,CSE,38,20,26,696,CodeChef,1,0,0,1,0,1,26,29,28,30,24,29,26,15,14,25.34,0
3.84,Civil,82,78,94,1986,Codeforces,3,2,1,2,3,12,100,89,90,88,83,97,88,48,86,89.96,1
2.27,EEE,30,14,20,601,LeetCode,0,1,0,0,1,6,17,25,26,20,13,19,2,23,5,16.37,0
2.26,Pharmacy,5,13,10,0,CodeChef,0,0,0,1,0,0,17,35,0,10,16,6,13,6,12,10.48,0
2.79,EEE,31,48,35,1062,HackerRank,1,1,1,1,0,0,40,25,51,33,30,30,34,24,23,34.59,0
2.4,Pharmacy,7,4,2,220,LeetCode,0,0,0,1,0,0,7,7,0,0,5,24,0,0,10,5.87,0
4,CSE,100,97,83,1899,Codeforces,3,2,1,3,4,18,94,73,100,100,99,100,91,45,83,97.22,1
3.03,EEE,58,46,47,783,HackerRank,0,1,1,0,3,12,39,33,42,49,43,54,38,25,41,45.89,0
2.64,EEE,24,27,36,368,Codeforces,1,2,0,1,0,1,17,20,24,23,12,31,13,27,19,22.92,0
2.49,CSE,26,30,22,436,Codeforces,0,1,0,0,1,5,18,19,27,25,14,28,12,23,13,21.36,0
3.56,CSE,97,95,80,2156,LeetCode,3,2,0,5,4,19,86,78,88,94,84,100,69,53,85,88.46,1
4,CSE,96,94,81,2238,LeetCode,3,4,0,4,5,20,81,72,100,99,87,100,80,80,85,92.87,1
2.46,CSE,45,37,53,1267,CodeChef,1,1,0,2,0,3,33,37,47,47,33,35,34,10,34,33.32,0
3.66,CSE,98,91,78,2244,HackerRank,2,5,1,5,5,20,95,80,91,96,94,100,75,100,98,90.88,1
2.59,EEE,23,16,19,324,LeetCode,0,1,0,0,1,5,16,7,28,16,16,27,14,17,12,19.26,0
2.12,CSE,43,36,38,733,Codeforces,0,1,0,2,1,6,24,28,34,30,22,42,15,17,19,22.19,0
3.06,Pharmacy,53,43,71,1302,Codeforces,0,1,0,3,2,7,43,38,45,56,53,59,47,9,60,47.8,0
3.08,CSE,67,66,56,1093,Codeforces,2,3,1,3,3,12,50,52,59,57,50,100,56,62,47,60.2,1
3.26,EEE,66,70,56,1351,Codeforces,3,2,0,2,3,12,61,54,63,69,66,100,57,43,57,65.43,1
3.47,Pharmacy,58,59,56,1222,Codeforces,2,1,0,2,2,8,63,52,53,60,61,80,47,33,58,60.57,1
2.63,Pharmacy,29,36,21,737,Codeforces,1,0,0,1,3,12,36,34,36,29,37,73,49,11,40,32.99,0
3.5,CSE,80,86,75,2103,Codeforces,3,4,1,2,2,9,76,59,76,77,81,91,76,84,83,81.74,1
3.96,CSE,100,100,89,2275,LeetCode,2,5,1,4,5,20,92,92,95,100,97,100,90,97,89,97.22,1
3.76,Pharmacy,87,88,76,1659,Codeforces,3,4,1,3,5,20,93,85,81,81,87,100,69,72,89,87.81,1
3.16,EEE,54,53,47,1246,CodeChef,1,3,0,2,1,4,47,45,58,63,53,48,36,52,41,51.77,0
3.77,EEE,100,79,80,1904,HackerRank,3,3,1,5,4,18,83,72,89,90,88,100,72,60,74,90.1,1
3.33,CSE,68,64,48,1415,HackerRank,2,2,0,1,2,9,71,68,70,73,71,82,45,42,55,66.16,0
2.07,CSE,15,22,23,696,HackerRank,0,2,0,1,0,0,12,14,17,19,18,7,7,28,15,16.04,1
3.48,EEE,91,90,98,2060,HackerRank,3,4,0,2,4,18,78,78,96,89,87,100,80,81,81,87.48,1
4,CSE,100,90,87,2099,Codeforces,3,5,1,3,3,14,100,97,100,100,97,100,92,100,87,96.21,1
3.46,CSE,79,79,70,1832,Codeforces,2,2,0,3,2,11,77,56,74,74,79,100,60,43,66,75,1
2.13,B.B.A,20,17,21,535,Codeforces,1,1,0,0,0,2,35,29,14,24,33,34,24,19,32,23.27,1
3.44,CSE,76,76,54,1494,HackerRank,1,3,0,4,5,20,70,60,76,77,79,100,57,58,62,70.19,1
3.21,CSE,87,71,74,1921,Codeforces,2,3,0,4,4,17,75,58,76,76,71,100,68,44,51,74.15,1
3.81,CSE,94,100,92,1981,CodeChef,2,5,1,5,4,15,97,94,97,100,93,100,66,97,91,94.42,1
2.26,Pharmacy,13,4,4,0,CodeChef,0,3,0,0,1,3,16,4,0,4,8,27,17,36,12,10.94,0
3.86,CSE,91,89,81,1873,CodeChef,2,4,1,4,4,16,79,70,96,92,89,100,76,90,86,86.03,1
2.61,CSE,43,38,33,1002,Codeforces,1,1,0,0,2,7,33,24,47,40,37,51,35,24,36,35.12,0
2.01,CSE,21,23,24,570,HackerRank,0,0,0,1,2,7,20,6,18,21,19,41,9,0,6,18.17,0
2.34,B.B.A,8,6,8,330,Codeforces,0,1,0,0,0,0,29,20,20,4,23,19,12,22,23,13.64,0
2.21,CSE,27,20,33,92,LeetCode,0,2,0,2,1,3,16,9,13,11,2,27,5,25,0,14.53,1
3.37,Pharmacy,88,85,81,1677,CodeChef,2,4,1,4,4,17,85,88,82,85,84,100,76,83,76,82.3,1
2.78,CSE,57,57,57,1237,CodeChef,1,1,0,1,2,10,46,38,48,50,44,58,39,45,44,47.96,1
3.06,EEE,73,73,64,1390,LeetCode,2,2,0,4,2,10,70,57,60,63,70,90,68,32,61,65.26,0
4,Civil,79,70,76,1835,CodeChef,0,2,0,2,2,11,75,62,84,83,81,49,68,45,81,73.94,1
3.88,CSE,99,85,90,2311,LeetCode,2,4,0,5,5,20,90,80,100,100,94,100,89,83,93,93.22,1
2.19,English,20,14,17,284,LeetCode,1,0,0,0,0,1,32,23,21,14,26,27,28,11,26,17.84,0
2.37,CSE,33,29,26,1021,CodeChef,0,2,0,0,1,6,26,10,34,26,27,27,26,45,22,25.63,1
2.06,CSE,34,28,30,422,HackerRank,0,1,0,2,0,2,22,18,17,22,15,39,22,14,15,19.46,0
3.37,CSE,85,88,69,1969,LeetCode,3,4,1,5,4,17,68,60,67,74,71,100,50,69,57,75.44,1
2.87,EEE,43,34,52,937,Codeforces,2,2,0,0,1,2,37,16,37,34,38,45,47,27,40,40.09,0
4,Pharmacy,86,63,75,1753,CodeChef,2,3,0,4,3,15,77,74,72,71,72,100,69,57,65,78.53,1
3.42,EEE,60,64,60,1671,HackerRank,3,3,0,1,3,12,55,57,64,65,60,100,56,54,53,65.35,1
2.07,English,13,15,14,213,Codeforces,1,0,0,1,1,2,23,39,18,12,20,38,31,8,13,13.82,0
2.42,Pharmacy,18,10,15,327,HackerRank,0,0,0,1,0,1,13,23,16,8,13,12,13,0,9,12.56,0
2.2,CSE,17,25,17,423,CodeChef,0,2,0,0,3,8,11,14,11,8,6,53,20,32,7,14.38,0
2.29,CSE,4,13,18,130,LeetCode,0,0,1,0,0,0,5,0,5,4,0,23,0,0,7,8.56,0
2.02,CSE,31,30,1,741,HackerRank,2,1,0,2,2,6,11,20,35,19,19,87,19,19,19,21.94,0
2,CSE,15,11,16,337,Codeforces,0,1,0,0,0,0,4,0,14,8,2,13,2,15,8,4.83,0
2.71,CSE,72,63,56,1304,Codeforces,3,3,0,4,3,12,62,41,70,69,66,100,50,52,53,64.62,0
3.24,Pharmacy,55,59,53,1238,LeetCode,1,3,0,3,3,13,59,52,55,58,56,82,53,47,57,54.43,0
2.57,CSE,48,47,32,883,CodeChef,1,2,1,2,1,5,41,25,46,41,34,60,31,42,21,38.11,0
3.41,English,53,56,56,1247,Codeforces,2,1,1,3,3,11,65,75,56,54,65,100,48,30,70,61.24,1
3.69,CSE,100,99,96,2200,Codeforces,2,3,0,2,4,16,85,82,97,100,93,100,78,59,88,89.35,1
2.73,CSE,43,40,39,1199,HackerRank,0,3,0,3,1,5,39,29,33,32,36,37,31,46,44,34.64,0
4,EEE,87,92,73,2195,CodeChef,1,4,1,4,5,20,100,87,100,96,98,100,91,67,90,92.6,1
2.82,CSE,48,44,41,1039,LeetCode,1,1,0,3,2,7,44,36,44,39,37,74,41,29,39,40.36,0
3.54,Pharmacy,92,81,84,1913,LeetCode,1,2,1,2,3,12,85,79,86,88,86,91,84,49,84,79.53,1
3.37,EEE,69,71,69,1746,LeetCode,3,2,1,4,3,12,65,59,75,68,68,100,53,38,71,72.96,1
2.95,CSE,47,38,35,1012,CodeChef,0,1,1,1,2,8,39,23,44,39,38,49,22,14,28,38.04,1
2.47,Pharmacy,40,38,25,427,CodeChef,0,1,0,1,2,7,29,24,38,27,28,50,33,32,33,27.46,0
2.87,CSE,71,60,53,1287,HackerRank,1,2,0,2,4,17,50,34,61,59,48,100,43,37,46,53.4,1
3.14,EEE,88,80,50,1735,LeetCode,2,3,0,3,3,9,70,64,79,86,76,99,79,57,68,72.1,1
3.52,Civil,76,74,76,1815,LeetCode,1,4,1,1,2,9,74,73,64,68,71,68,46,74,86,70.18,1
3.68,EEE,93,74,81,2125,CodeChef,2,4,1,2,5,20,80,89,87,91,74,100,67,75,76,84.23,1
2.72,EEE,60,62,49,1126,Codeforces,0,1,1,3,4,15,50,34,54,58,56,89,63,22,49,49.8,0
2.37,EEE,33,39,28,671,HackerRank,1,1,1,1,0,1,28,38,30,30,28,29,31,27,35,28.45,0
3.53,CSE,100,88,81,1999,Codeforces,1,4,1,4,3,15,89,90,88,88,91,100,87,84,81,83.37,1
3.03,EEE,60,53,45,1220,Codeforces,1,3,0,2,3,12,50,45,40,42,44,91,43,49,49,50.47,0
2.61,B.B.A,36,15,28,347,CodeChef,0,0,0,1,0,0,29,29,9,14,24,12,18,4,37,21.26,0
3.14,B.B.A,50,56,38,1581,CodeChef,1,3,1,2,2,9,72,66,62,60,66,61,60,64,74,58.31,1
2.25,CSE,23,16,14,186,Codeforces,0,3,0,0,1,5,3,9,13,11,7,30,6,41,3,11.94,0
2.28,CSE,17,12,21,320,Codeforces,0,0,0,0,0,0,3,0,17,8,7,8,8,0,1,9.94,0
2.97,CSE,79,59,57,1505,CodeChef,1,3,1,4,5,18,61,58,76,65,62,100,52,60,54,62.88,0
3.76,B.B.A,83,73,78,1967,HackerRank,2,5,1,4,4,17,88,81,77,79,88,100,80,100,90,83.63,1
2,CSE,20,16,14,386,CodeChef,2,0,0,0,0,0,6,0,18,5,14,40,0,0,18,11.33,0
3.7,Civil,69,63,64,1605,CodeChef,2,5,0,3,4,17,77,72,75,79,78,100,60,91,70,77.19,1
3.57,English,63,75,63,1188,HackerRank,1,4,0,2,4,15,64,53,53,54,60,93,59,79,77,64.96,1
4,Pharmacy,86,87,79,2293,Codeforces,3,4,1,4,5,20,100,89,99,99,98,100,96,80,91,95.67,1
3.44,B.B.A,62,67,67,1184,CodeChef,2,3,0,1,4,17,76,87,53,60,64,100,69,54,63,69.14,1
3.33,CSE,83,93,71,1907,HackerRank,3,2,1,2,4,17,76,62,92,83,88,100,72,44,76,81.84,1
2.55,B.B.A,39,31,21,321,Codeforces,2,2,0,2,2,9,39,46,38,31,34,86,35,41,33,34.55,0
3.75,EEE,89,90,91,1766,CodeChef,3,4,1,4,3,13,86,90,100,93,85,100,67,69,82,90.65,1
2.27,CSE,29,30,20,107,LeetCode,2,2,0,1,1,2,24,9,16,24,22,55,4,29,15,27.37,0
2.91,Civil,50,57,42,1333,LeetCode,1,4,1,1,3,13,52,44,48,53,47,77,61,71,52,49.5,1
3.94,CSE,91,92,82,2074,Codeforces,3,3,1,5,4,16,90,80,88,93,94,100,78,59,90,93.7,1
2.36,CSE,23,34,27,425,CodeChef,1,1,0,0,1,4,24,20,21,25,27,37,11,16,22,24.6,0
3.06,CSE,53,60,52,1075,CodeChef,0,2,0,0,1,5,51,32,52,52,43,27,48,39,41,44.21,0
2.79,CSE,52,53,49,1358,HackerRank,0,2,1,2,4,16,53,33,67,59,55,81,51,40,37,51.78,0
2.13,CSE,23,24,18,745,CodeChef,1,0,1,4,1,4,21,25,34,27,23,59,23,2,12,21.43,0
2,CSE,7,26,15,242,LeetCode,0,0,0,0,0,0,7,0,4,11,7,3,1,5,7,6.84,0
3.26,CSE,73,72,65,1490,HackerRank,1,4,1,3,5,20,67,70,66,77,74,100,61,70,68,71.01,1
2.59,Pharmacy,25,15,15,322,LeetCode,1,1,0,0,1,5,24,24,18,20,21,40,16,20,28,24.01,0
2.67,CSE,61,63,50,1310,HackerRank,1,3,0,2,2,8,49,30,55,56,53,71,45,43,44,48.73,0
2.51,CSE,34,36,35,702,HackerRank,0,1,0,3,1,6,32,29,28,28,35,40,21,26,23,28.57,0
3.07,CSE,57,52,52,1138,LeetCode,2,1,1,3,3,12,44,24,50,49,39,100,41,29,42,51.28,0
2.49,EEE,32,29,25,557,LeetCode,0,3,0,0,1,5,20,20,21,25,27,30,22,37,26,24.71,0
4,CSE,100,98,90,1842,HackerRank,3,5,1,4,4,18,85,78,96,89,88,100,77,91,74,93.3,1
3.51,CSE,88,82,77,1736,LeetCode,3,2,1,3,3,10,71,74,79,76,70,100,64,47,65,76.81,1
2.73,CSE,64,56,52,1308,Codeforces,2,1,0,2,1,3,54,43,51,55,49,60,45,21,44,50.84,1
3.64,EEE,90,87,87,2160,LeetCode,2,5,0,5,4,19,82,78,88,87,90,100,75,98,77,84.87,1
2.44,CSE,24,33,24,719,HackerRank,1,0,0,2,0,1,28,23,49,31,36,43,21,6,20,28.4,0
2.33,CSE,41,32,29,821,HackerRank,1,0,0,1,0,2,25,27,41,33,28,22,17,12,22,28.2,1
4,CSE,100,92,96,2338,CodeChef,2,5,1,4,5,20,95,78,100,100,95,100,85,92,94,96.02,1
2.65,B.B.A,58,46,43,1054,HackerRank,2,2,0,4,1,4,60,50,43,41,53,68,53,41,55,48.99,1
2.72,CSE,56,47,39,1324,LeetCode,1,1,1,3,2,8,41,38,45,50,43,62,35,26,37,43.44,0
2.7,CSE,50,45,47,1088,CodeChef,1,2,1,0,3,14,46,35,47,43,46,77,41,42,51,44.76,1
2.9,B.B.A,57,45,35,1206,CodeChef,0,3,1,1,2,8,56,59,35,46,45,43,44,53,54,46.79,0
3.13,CSE,53,62,59,1331,LeetCode,2,2,1,3,3,13,51,48,65,64,49,98,43,26,43,59.33,1
3.33,English,55,58,38,1409,Codeforces,0,1,1,0,3,14,81,63,58,57,63,58,71,25,66,57.14,1
3.49,EEE,46,37,34,1375,Codeforces,1,3,0,2,1,6,47,49,43,41,41,60,25,61,38,47.03,0
3.01,CSE,69,73,64,1479,LeetCode,1,0,1,2,3,13,64,55,60,68,69,80,48,16,56,61.9,1
3.11,EEE,52,55,46,986,HackerRank,0,2,0,2,3,14,44,46,57,53,43,73,36,34,40,45.28,0
2,EEE,8,18,3,0,CodeChef,0,1,1,1,0,0,2,1,0,6,3,14,0,11,0,6.69,0
2.68,EEE,44,36,38,646,CodeChef,1,2,0,1,0,0,36,22,40,35,37,27,17,37,35,35.16,0
2.24,CSE,29,32,30,464,LeetCode,1,0,0,1,1,5,18,7,31,20,22,48,14,7,21,22.89,1
3.96,CSE,84,72,67,1824,Codeforces,0,3,1,3,4,17,71,58,88,73,67,100,69,62,65,71.75,1
4,B.B.A,92,93,88,1946,Codeforces,3,2,0,4,3,12,97,98,77,79,90,100,93,59,98,90.2,1
2.27,CSE,38,46,37,980,HackerRank,0,0,1,1,4,17,30,41,43,43,32,82,48,16,36,32.83,1
3.18,CSE,72,64,67,1324,HackerRank,2,1,1,3,2,9,58,50,65,69,62,95,64,47,66,62.42,0
2.33,B.B.A,36,23,36,494,HackerRank,1,2,0,2,1,5,36,44,26,37,39,57,43,37,42,34.07,0
3.97,CSE,98,99,100,2364,Codeforces,3,4,0,5,4,17,93,76,100,100,96,100,100,83,90,97.08,1
4,English,89,89,83,1987,HackerRank,2,3,0,5,3,14,93,92,94,97,97,100,94,68,99,90.47,1
2.52,Civil,32,23,16,662,CodeChef,2,0,0,0,4,13,29,27,30,26,23,99,21,7,21,30.21,0
3.45,CSE,95,92,84,2172,CodeChef,2,5,1,2,4,20,93,98,100,94,85,100,92,100,77,87.78,1
3.59,EEE,95,74,71,1908,LeetCode,3,3,1,4,3,13,71,72,76,79,79,100,82,58,77,81.74,1
2.47,CSE,19,17,11,179,HackerRank,0,1,0,0,0,2,18,2,17,18,18,16,7,33,11,16.02,1
2.65,EEE,34,41,40,615,LeetCode,1,2,1,3,4,13,32,14,32,36,30,94,32,38,34,38.97,1
3.02,CSE,37,34,32,600,CodeChef,0,2,0,0,3,11,30,36,20,31,29,52,28,39,19,33.41,0
3.1,CSE,45,43,44,1164,HackerRank,2,0,1,1,2,10,50,36,51,46,41,79,33,0,35,48.08,0
2.7,Pharmacy,18,3,2,314,HackerRank,0,0,0,0,0,0,28,16,24,15,26,10,18,5,23,18.81,1
3.54,CSE,94,85,91,2206,LeetCode,0,4,0,4,4,18,90,74,82,88,85,99,89,76,83,78.24,1
3.47,CSE,86,71,72,1604,CodeChef,3,4,0,2,2,10,71,80,88,90,75,94,69,70,66,77.81,1
2,CSE,28,26,33,520,HackerRank,0,1,0,2,1,4,24,24,30,18,31,43,17,12,32,21.21,0
2.92,B.B.A,57,52,35,1075,Codeforces,0,3,1,1,2,8,49,55,49,45,48,47,49,60,48,45.05,0
3.44,CSE,72,68,69,1797,HackerRank,0,0,1,2,4,16,60,56,70,68,62,90,58,14,61,63.12,0
3.97,B.B.A,84,90,74,1950,LeetCode,2,4,0,3,3,14,100,96,82,89,92,100,75,77,91,89.56,1
2.38,CSE,10,20,15,395,HackerRank,0,0,0,0,0,0,4,10,19,8,7,9,8,7,3,8.88,0
3.35,EEE,84,86,70,1760,CodeChef,1,3,0,1,3,14,73,73,88,87,76,82,61,53,66,72.2,1
2,CSE,9,17,19,159,Codeforces,2,0,0,0,2,6,7,0,9,11,7,62,8,3,4,13.08,0
3.21,CSE,69,68,66,1599,LeetCode,2,4,0,4,0,2,64,62,72,68,69,77,40,67,59,63.6,1
3.14,CSE,53,47,55,1103,HackerRank,1,2,0,3,1,7,35,32,45,47,44,62,48,39,43,44.65,1
2.19,B.B.A,6,9,1,219,LeetCode,0,0,0,0,0,0,24,24,4,7,11,10,11,0,11,8.38,0
3.71,CSE,88,91,87,1735,Codeforces,2,4,0,3,4,17,78,73,85,87,83,100,72,78,81,80.85,1
3.14,CSE,72,55,53,1266,LeetCode,2,2,1,2,3,13,60,62,58,66,63,98,56,41,64,62.63,1
2.74,CSE,50,63,65,1306,CodeChef,2,1,0,2,5,20,46,25,47,50,47,100,42,34,50,54.19,1
3.46,CSE,86,83,73,1993,HackerRank,1,2,0,5,4,16,78,55,82,83,80,100,58,52,75,76.08,1
2.78,EEE,43,47,51,834,CodeChef,0,3,0,1,2,10,44,40,43,55,39,44,39,52,35,41.94,1
2.91,English,26,37,27,677,CodeChef,1,2,0,2,2,7,50,40,27,34,48,58,40,49,54,38.34,0
2.25,EEE,38,35,33,561,CodeChef,0,0,0,1,4,12,27,26,25,33,33,71,18,0,24,27.47,0
3.47,EEE,78,83,68,1883,HackerRank,3,1,1,3,4,15,68,65,75,75,76,100,60,37,71,74.89,1
2.88,B.B.A,14,13,13,128,Codeforces,0,0,0,0,2,5,26,22,6,10,17,25,19,8,16,20.15,0
2.33,CSE,33,33,28,541,Codeforces,0,3,1,0,3,10,19,26,36,27,25,54,15,41,36,27.02,0
3.98,EEE,100,85,79,1998,Codeforces,2,3,0,5,5,19,87,86,92,98,91,100,85,71,82,91.39,1
4,Pharmacy,96,93,86,1884,CodeChef,3,3,1,4,3,13,90,100,100,97,97,100,90,57,89,94.82,1
2.91,B.B.A,23,27,27,435,CodeChef,0,1,0,0,1,4,33,33,18,25,35,24,35,14,49,28.56,0
2,CSE,15,10,15,248,Codeforces,1,0,0,0,2,5,6,16,16,13,10,51,14,0,7,11.29,0
2.71,CSE,68,48,52,1117,Codeforces,1,4,0,0,0,5,48,35,47,51,47,30,38,82,55,46.3,1
3.82,CSE,85,78,71,1563,CodeChef,3,3,0,3,4,16,82,69,83,85,87,100,69,52,63,85.51,1
2.25,B.B.A,14,18,0,261,HackerRank,0,2,0,0,1,2,15,23,9,12,22,21,15,33,25,17.59,0
3.33,Pharmacy,54,51,51,1391,HackerRank,1,3,1,0,3,13,65,62,56,63,54,68,45,58,63,60.13,1
2.49,CSE,41,41,35,782,CodeChef,1,2,0,1,2,6,24,30,38,36,35,59,21,45,33,35.48,1
3.88,Pharmacy,90,90,85,2132,CodeChef,2,4,1,3,3,16,97,65,98,100,96,100,89,67,86,95.29,1
2.41,EEE,29,22,31,476,CodeChef,1,1,0,1,1,5,29,24,22,22,28,43,8,23,25,26.84,0
2.03,CSE,10,2,21,171,LeetCode,0,0,0,1,0,0,2,5,6,8,5,15,9,8,0,6.22,0
3.54,CSE,65,67,67,1699,CodeChef,2,3,0,2,2,9,68,54,77,73,69,78,56,48,66,68.96,1
2.82,CSE,64,61,70,1359,LeetCode,0,2,1,4,3,12,63,51,68,62,65,72,56,41,51,55.56,1
2.94,Pharmacy,51,43,49,696,LeetCode,2,0,1,1,0,2,44,31,48,43,46,54,50,8,46,44.92,1
2.53,B.B.A,16,19,22,235,Codeforces,1,0,0,0,2,6,36,33,12,19,32,50,36,0,17,27.67,0
3.89,CSE,100,91,91,2230,LeetCode,3,5,0,5,2,10,95,96,87,100,96,100,90,97,95,95.43,1
3.16,B.B.A,55,52,49,957,CodeChef,1,1,0,2,2,10,60,53,40,50,54,67,43,19,44,52.31,0
2.73,CSE,37,45,38,961,Codeforces,1,1,1,2,1,4,35,31,33,38,32,52,29,17,28,37.4,0
2,Pharmacy,12,1,6,0,LeetCode,1,0,0,0,0,0,9,0,0,0,6,25,7,0,2,7.08,0
2.24,CSE,21,22,11,331,CodeChef,1,1,0,0,1,5,11,9,9,22,12,35,4,9,9,16.26,1
2.93,EEE,63,61,57,1069,Codeforces,1,1,1,2,3,13,60,49,60,60,61,77,66,32,42,58.96,1
2.59,CSE,34,35,41,546,LeetCode,2,0,0,1,1,4,19,29,39,29,20,64,15,7,22,30.01,0
3.13,CSE,68,61,50,1357,HackerRank,0,2,1,4,3,11,52,40,62,65,55,73,57,52,50,53.75,0
2.96,English,63,55,56,1395,LeetCode,1,1,0,2,3,11,77,74,63,63,68,82,67,27,70,59.28,1
2.41,B.B.A,22,38,25,503,CodeChef,1,2,0,1,1,4,39,32,29,28,29,46,33,47,32,28.65,0
3.38,B.B.A,74,72,61,1154,LeetCode,3,1,0,2,2,10,84,50,64,62,73,97,62,23,71,71.07,1
2.87,CSE,52,42,34,1043,CodeChef,1,1,0,3,1,5,34,28,46,44,37,63,28,17,29,37.24,0
2.02,CSE,23,24,16,513,LeetCode,1,0,0,0,1,5,20,13,19,15,16,38,16,0,9,15.63,0
2,CSE,14,11,11,177,CodeChef,0,0,0,0,0,0,6,4,5,7,9,12,4,6,5,5.39,0
3.35,CSE,90,76,62,1869,LeetCode,1,4,0,2,5,20,77,81,83,77,84,100,77,84,76,74.81,1
3.24,Pharmacy,72,74,53,1639,CodeChef,2,5,1,3,4,18,74,63,70,66,71,100,72,91,65,70.01,1
3.64,B.B.A,79,64,61,1173,Codeforces,1,3,0,1,4,15,77,61,72,65,78,93,61,68,65,71.26,1
2,EEE,15,7,14,222,LeetCode,0,2,0,0,1,6,10,8,13,6,8,26,5,8,7,8.77,0
3.19,EEE,65,68,60,1369,HackerRank,1,3,0,3,2,7,59,38,65,69,56,74,48,62,49,60.03,1
